     midlatitude summer                           
 
     p(mb)   t(k)     h2o(g/g)    ozone(g/g)      
 
     0.100   226.421  4.0000E-06  1.1499E-06
     0.140   233.370  4.0000E-06  1.4606E-06
     0.197   240.640  4.0000E-06  1.7944E-06
     0.276   248.033  4.0000E-06  2.1429E-06
     0.387   255.664  4.0000E-06  2.5120E-06
     0.543   263.527  4.0000E-06  2.9023E-06
     0.762   271.522  4.0000E-06  3.3131E-06
     1.069   276.262  4.0000E-06  4.0173E-06
     1.499   272.502  4.0000E-06  5.1934E-06
     2.102   266.372  4.0000E-06  6.6967E-06
     2.949   259.833  4.0000E-06  8.4831E-06
     4.137   253.392  4.0000E-06  9.3779E-06
     5.803   247.226  4.0000E-06  9.7924E-06
     8.139   241.740  4.0000E-06  1.0019E-05
    11.417   236.462  4.0000E-06  1.0139E-05
    16.015   231.306  4.0000E-06  9.3118E-06
    22.464   226.443  4.0000E-06  7.8337E-06
    31.511   223.162  4.0000E-06  6.4482E-06
    44.200   220.487  4.0000E-06  5.1589E-06
    62.000   217.858  4.0000E-06  3.3896E-06
    85.775   215.825  4.0000E-06  1.9368E-06
   109.550   215.751  4.0000E-06  1.2049E-06
   133.325   215.752  4.0000E-06  8.7778E-07
   157.100   215.809  4.1297E-06  6.9347E-07
   180.875   217.120  6.2710E-06  5.1121E-07
   204.650   221.436  1.6775E-05  3.8772E-07
   228.425   226.098  3.8128E-05  3.2615E-07
   252.200   230.423  7.6252E-05  2.7702E-07
   275.975   234.430  1.3785E-04  2.2659E-07
   299.750   238.167  1.9423E-04  2.0195E-07
   323.525   241.670  2.5143E-04  1.8453E-07
   347.300   244.968  3.1955E-04  1.6789E-07
   371.075   248.083  3.9973E-04  1.5191E-07
   394.850   251.031  4.9309E-04  1.4152E-07
   418.625   253.820  6.0080E-04  1.3168E-07
   442.400   256.452  7.0920E-04  1.2246E-07
   466.175   258.934  8.2455E-04  1.1365E-07
   489.950   261.279  9.5461E-04  1.0547E-07
   513.725   263.507  1.1008E-03  1.0010E-07
   537.500   265.636  1.2648E-03  9.4874E-08
   561.275   267.681  1.4481E-03  9.0163E-08
   585.050   269.652  1.7339E-03  8.6415E-08
   608.825   271.555  2.0679E-03  8.2760E-08
   632.600   273.397  2.4363E-03  7.9298E-08
   656.375   275.182  2.8386E-03  7.6351E-08
   680.150   276.914  3.2739E-03  7.3470E-08
   703.925   278.596  3.7409E-03  7.0651E-08
   727.700   280.231  4.2382E-03  6.8210E-08
   751.475   281.818  4.7640E-03  6.5926E-08
   775.250   283.355  5.3161E-03  6.3684E-08
   799.025   284.831  5.8921E-03  6.1480E-08
   822.800   286.221  6.4890E-03  5.9981E-08
   846.575   287.490  7.1031E-03  5.8588E-08
   870.350   288.623  7.7310E-03  5.7199E-08
   894.125   289.641  8.3700E-03  5.5819E-08
   917.900   290.582  9.0182E-03  5.4569E-08
   941.675   291.476  9.6738E-03  5.3393E-08
   965.450   292.340  1.0335E-02  5.2237E-08
   989.225   293.180  1.0999E-02  5.1102E-08
  1013.000   294.000  1.1663E-02  4.9986E-08
