     midlatitude winter                           
 
     p(mb)   t(k)     h2o(g/g)    ozone(g/g)      
 
     0.100   240.377  4.0000E-06  2.1453E-06
     0.140   244.775  4.0000E-06  2.5781E-06
     0.197   249.318  4.0000E-06  3.0328E-06
     0.276   253.882  4.0000E-06  3.4974E-06
     0.387   258.538  4.0000E-06  3.9791E-06
     0.543   263.250  4.0000E-06  4.4777E-06
     0.762   265.284  4.0000E-06  5.3012E-06
     1.069   261.379  4.0000E-06  6.7265E-06
     1.499   256.188  4.0000E-06  8.4155E-06
     2.102   248.324  4.0000E-06  1.0350E-05
     2.949   240.458  4.0000E-06  1.1415E-05
     4.137   232.847  4.0000E-06  1.1545E-05
     5.803   225.496  4.0000E-06  1.1434E-05
     8.139   219.178  4.0000E-06  1.0934E-05
    11.417   217.192  4.0000E-06  1.0602E-05
    16.015   216.302  4.0000E-06  9.7201E-06
    22.464   215.490  4.0000E-06  8.8486E-06
    31.511   215.209  4.0000E-06  7.4244E-06
    44.200   215.203  4.0000E-06  6.0232E-06
    62.000   215.342  4.0000E-06  4.3101E-06
    85.775   216.172  4.0000E-06  2.8263E-06
   109.550   216.948  4.0000E-06  1.9960E-06
   133.325   217.577  4.8561E-06  1.5245E-06
   157.100   218.104  6.4024E-06  1.2119E-06
   180.875   218.557  8.3696E-06  9.4359E-07
   204.650   218.959  1.0833E-05  7.2400E-07
   228.425   219.369  1.3883E-05  5.5010E-07
   252.200   220.252  1.7657E-05  4.1837E-07
   275.975   222.597  2.3783E-05  3.3127E-07
   299.750   225.681  3.4852E-05  2.5869E-07
   323.525   228.721  4.9151E-05  2.1446E-07
   347.300   231.600  6.7083E-05  1.7228E-07
   371.075   234.323  9.6410E-05  1.5364E-07
   394.850   236.906  1.3347E-04  1.3573E-07
   418.625   239.363  1.7874E-04  1.2098E-07
   442.400   241.708  2.3256E-04  1.0771E-07
   466.175   243.951  2.9507E-04  9.5754E-08
   489.950   246.102  3.6619E-04  8.9189E-08
   513.725   248.168  4.4566E-04  8.2819E-08
   537.500   250.156  5.3306E-04  7.6625E-08
   561.275   252.072  6.2778E-04  7.0581E-08
   585.050   253.921  7.2914E-04  6.4696E-08
   608.825   255.703  8.3631E-04  5.9078E-08
   632.600   257.412  9.4840E-04  5.7336E-08
   656.375   259.024  1.0644E-03  5.5625E-08
   680.150   260.490  1.1830E-03  5.3931E-08
   703.925   261.758  1.3030E-03  5.2345E-08
   727.700   262.837  1.4232E-03  5.0901E-08
   751.475   263.787  1.5430E-03  4.9472E-08
   775.250   264.665  1.6617E-03  4.8069E-08
   799.025   265.500  1.7675E-03  4.7158E-08
   822.800   266.306  1.8549E-03  4.6973E-08
   846.575   267.089  1.9451E-03  4.6792E-08
   870.350   267.851  2.0383E-03  4.6614E-08
   894.125   268.595  2.1345E-03  4.6439E-08
   917.900   269.320  2.2338E-03  4.6352E-08
   941.675   270.029  2.3361E-03  4.6279E-08
   965.450   270.722  2.4417E-03  4.6207E-08
   989.225   271.399  2.5504E-03  4.6136E-08
  1018.000   272.200  2.6864E-03  4.6052E-08
