     tropical                                     
 
     p(mb)   t(k)     h2o(g/g)    ozone(g/g)      
 
     0.100   229.043  3.2500E-06  1.4504E-06
     0.140   235.598  3.2500E-06  1.7921E-06
     0.197   242.439  3.2500E-06  2.1577E-06
     0.276   249.381  3.2500E-06  2.5379E-06
     0.387   256.535  3.2500E-06  2.9390E-06
     0.543   263.892  3.2500E-06  3.3617E-06
     0.762   269.997  3.2500E-06  3.7858E-06
     1.069   268.444  3.2500E-06  4.7543E-06
     1.499   265.580  3.2500E-06  6.0060E-06
     2.102   260.546  3.2500E-06  7.8028E-06
     2.949   254.847  3.2500E-06  9.6346E-06
     4.137   249.272  3.2500E-06  1.0228E-05
     5.803   243.824  3.2500E-06  1.0666E-05
     8.139   238.500  3.2500E-06  1.1774E-05
    11.417   233.295  3.2500E-06  1.2902E-05
    16.015   228.207  3.2500E-06  1.1345E-05
    22.464   223.234  3.2500E-06  9.2231E-06
    31.511   218.373  3.2500E-06  6.6665E-06
    44.200   213.338  3.2500E-06  3.6444E-06
    62.000   205.308  3.2500E-06  1.5445E-06
    85.775   197.590  3.2500E-06  5.3554E-07
   109.550   196.353  3.2500E-06  2.5234E-07
   133.325   204.014  3.3666E-06  2.0615E-07
   157.100   210.735  3.8474E-06  1.7336E-07
   180.875   216.682  5.8635E-06  1.5482E-07
   204.650   222.030  1.3983E-05  1.3602E-07
   228.425   226.900  2.9144E-05  1.2045E-07
   252.200   231.377  5.4733E-05  1.0745E-07
   275.975   235.527  9.4629E-05  9.7068E-08
   299.750   239.398  1.5301E-04  8.9602E-08
   323.525   243.029  2.3413E-04  8.4186E-08
   347.300   246.452  3.3785E-04  7.9622E-08
   371.075   249.691  4.4141E-04  7.5416E-08
   394.850   252.767  5.6536E-04  7.2901E-08
   418.625   255.697  7.1164E-04  7.1089E-08
   442.400   258.496  8.8219E-04  6.9403E-08
   466.175   261.177  1.0789E-03  6.7857E-08
   489.950   263.749  1.3035E-03  6.6351E-08
   513.725   266.223  1.5580E-03  6.5005E-08
   537.500   268.606  1.8440E-03  6.3703E-08
   561.275   270.906  2.1632E-03  6.2442E-08
   585.050   273.128  2.5173E-03  6.1318E-08
   608.825   275.277  2.9079E-03  6.0218E-08
   632.600   277.352  3.3363E-03  5.9138E-08
   656.375   279.346  3.8039E-03  5.8841E-08
   680.150   281.226  4.3114E-03  5.8548E-08
   703.925   282.929  4.8766E-03  5.8234E-08
   727.700   284.402  5.9113E-03  5.7716E-08
   751.475   285.682  7.0051E-03  5.7031E-08
   775.250   286.880  8.1336E-03  5.6351E-08
   799.025   288.096  9.2719E-03  5.5695E-08
   822.800   289.386  9.9575E-03  5.4919E-08
   846.575   290.739  1.0533E-02  5.4123E-08
   870.350   292.116  1.1160E-02  5.3352E-08
   894.125   293.488  1.1841E-02  5.2597E-08
   917.900   294.840  1.2577E-02  5.1672E-08
   941.675   296.168  1.3372E-02  5.0632E-08
   965.450   297.471  1.4231E-02  4.9608E-08
   989.225   298.748  1.5156E-02  4.8599E-08
  1013.000   300.000  1.6152E-02  4.7606E-08
